parity ok: all variants match [rand.predef] and each other
2026-08-28T09:13:40+00:00
Running ./bench_g_O2
Run on (4 X 2700 MHz CPU s)
CPU Caches:
  L1 Data 48 KiB (x2)
  L1 Instruction 32 KiB (x2)
  L2 Unified 2048 KiB (x2)
  L3 Unified 107520 KiB (x1)
Load Average: 0.99, 0.65, 0.29
***WARNING*** Library was built as DEBUG. Timings may be affected.
-------------------------------------------------------------------------------------------------------------
Benchmark                                                   Time             CPU   Iterations UserCounters...
-------------------------------------------------------------------------------------------------------------
BM_Seq<std::mt19937>_mean                                2.35 ns         2.35 ns           15 items_per_second=425.163M/s
BM_Seq<std::mt19937>_median                              2.35 ns         2.35 ns           15 items_per_second=424.667M/s
BM_Seq<std::mt19937>_stddev                             0.006 ns        0.006 ns           15 items_per_second=1.17273M/s
BM_Seq<std::mt19937>_cv                                  0.28 %          0.28 %            15 items_per_second=0.28%
BM_ColSample<xgboost_spec::Philox4x32>/4096_mean        15161 ns        15160 ns           15 items_per_second=65.9619k/s
BM_ColSample<xgboost_spec::Philox4x32>/4096_median      15151 ns        15151 ns           15 items_per_second=66.0042k/s
BM_ColSample<xgboost_spec::Philox4x32>/4096_stddev       27.7 ns         27.7 ns           15 items_per_second=119.912/s
BM_ColSample<xgboost_spec::Philox4x32>/4096_cv           0.18 %          0.18 %            15 items_per_second=0.18%
BM_ColSample<std::mt19937>/1024_mean                     4343 ns         4343 ns           15 items_per_second=232.158k/s
BM_ColSample<std::mt19937>/1024_median                   4120 ns         4120 ns           15 items_per_second=242.7k/s
BM_ColSample<std::mt19937>/1024_stddev                    442 ns          442 ns           15 items_per_second=19.9391k/s
BM_ColSample<std::mt19937>/1024_cv                      10.18 %         10.18 %            15 items_per_second=8.59%
BM_ColSample<xgboost_spec::Philox4x32>/64_mean            249 ns          249 ns           15 items_per_second=4.01537M/s
BM_ColSample<xgboost_spec::Philox4x32>/64_median          249 ns          249 ns           15 items_per_second=4.01523M/s
BM_ColSample<xgboost_spec::Philox4x32>/64_stddev        0.235 ns        0.234 ns           15 items_per_second=3.77238k/s
BM_ColSample<xgboost_spec::Philox4x32>/64_cv             0.09 %          0.09 %            15 items_per_second=0.09%
BM_Seq<xgboost_hilo::Philox4x32>_mean                    3.88 ns         3.88 ns           15 items_per_second=257.998M/s
BM_Seq<xgboost_hilo::Philox4x32>_median                  3.88 ns         3.88 ns           15 items_per_second=257.994M/s
BM_Seq<xgboost_hilo::Philox4x32>_stddev                 0.001 ns        0.001 ns           15 items_per_second=74.046k/s
BM_Seq<xgboost_hilo::Philox4x32>_cv                      0.03 %          0.03 %            15 items_per_second=0.03%
BM_Seq<xgboost_spec::Philox4x32>_mean                    3.78 ns         3.78 ns           15 items_per_second=264.247M/s
BM_Seq<xgboost_spec::Philox4x32>_median                  3.78 ns         3.78 ns           15 items_per_second=264.245M/s
