parity ok: all variants match [rand.predef] and each other
2026-08-28T09:09:22+00:00
Running ./bench_g_O0
Run on (4 X 2700 MHz CPU s)
CPU Caches:
  L1 Data 48 KiB (x2)
  L1 Instruction 32 KiB (x2)
  L2 Unified 2048 KiB (x2)
  L3 Unified 107520 KiB (x1)
Load Average: 0.31, 0.14, 0.05
***WARNING*** Library was built as DEBUG. Timings may be affected.
-------------------------------------------------------------------------------------------------------------
Benchmark                                                   Time             CPU   Iterations UserCounters...
-------------------------------------------------------------------------------------------------------------
BM_ColSample<std::mt19937>/16_mean                      10877 ns        10877 ns           15 items_per_second=91.9365k/s
BM_ColSample<std::mt19937>/16_median                    10879 ns        10879 ns           15 items_per_second=91.921k/s
BM_ColSample<std::mt19937>/16_stddev                     15.2 ns         15.1 ns           15 items_per_second=127.977/s
BM_ColSample<std::mt19937>/16_cv                         0.14 %          0.14 %            15 items_per_second=0.14%
BM_Seq<std::mt19937>_mean                                11.1 ns         11.1 ns           15 items_per_second=90.1708M/s
BM_Seq<std::mt19937>_median                              11.1 ns         11.1 ns           15 items_per_second=90.1833M/s
BM_Seq<std::mt19937>_stddev                             0.012 ns        0.012 ns           15 items_per_second=100.547k/s
BM_Seq<std::mt19937>_cv                                  0.11 %          0.11 %            15 items_per_second=0.11%
BM_ColSample<std::mt19937>/256_mean                     18895 ns        18894 ns           15 items_per_second=52.9258k/s
BM_ColSample<std::mt19937>/256_median                   18893 ns        18893 ns           15 items_per_second=52.9309k/s
BM_ColSample<std::mt19937>/256_stddev                    26.3 ns         26.3 ns           15 items_per_second=73.6851/s
BM_ColSample<std::mt19937>/256_cv                        0.14 %          0.14 %            15 items_per_second=0.14%
BM_ColSample<xgboost_spec::Philox4x32>/4096_mean       437014 ns       437000 ns           15 items_per_second=2.28834k/s
BM_ColSample<xgboost_spec::Philox4x32>/4096_median     437086 ns       437069 ns           15 items_per_second=2.28797k/s
BM_ColSample<xgboost_spec::Philox4x32>/4096_stddev        926 ns          920 ns           15 items_per_second=4.81322/s
BM_ColSample<xgboost_spec::Philox4x32>/4096_cv           0.21 %          0.21 %            15 items_per_second=0.21%
BM_Seq<xgboost_hilo::Philox4x32>_mean                     111 ns          111 ns           15 items_per_second=8.99937M/s
BM_Seq<xgboost_hilo::Philox4x32>_median                   111 ns          111 ns           15 items_per_second=9.00251M/s
BM_Seq<xgboost_hilo::Philox4x32>_stddev                 0.202 ns        0.202 ns           15 items_per_second=16.371k/s
BM_Seq<xgboost_hilo::Philox4x32>_cv                      0.18 %          0.18 %            15 items_per_second=0.18%
BM_ColSample<xgboost_spec::Philox4x32>/64_mean           6916 ns         6916 ns           15 items_per_second=144.598k/s
BM_ColSample<xgboost_spec::Philox4x32>/64_median         6913 ns         6913 ns           15 items_per_second=144.648k/s
BM_ColSample<xgboost_spec::Philox4x32>/64_stddev         22.3 ns         22.3 ns           15 items_per_second=465.73/s
BM_ColSample<xgboost_spec::Philox4x32>/64_cv             0.32 %          0.32 %            15 items_per_second=0.32%
BM_ColSample<xgboost_spec::Philox4x32>/1024_mean       109527 ns       109523 ns           15 items_per_second=9.1306k/s
BM_ColSample<xgboost_spec::Philox4x32>/1024_median     109611 ns       109607 ns           15 items_per_second=9.12346k/s
BM_ColSample<xgboost_spec::Philox4x32>/1024_stddev        371 ns          371 ns           15 items_per_second=30.952/s
BM_ColSample<xgboost_spec::Philox4x32>/1024_cv           0.34 %          0.34 %            15 items_per_second=0.34%
