parity ok: all variants match [rand.predef] and each other
2026-08-28T09:48:56+00:00
Running ./bench_clang_O3
Run on (4 X 2700 MHz CPU s)
CPU Caches:
  L1 Data 48 KiB (x2)
  L1 Instruction 32 KiB (x2)
  L2 Unified 2048 KiB (x2)
  L3 Unified 107520 KiB (x1)
Load Average: 1.00, 0.94, 0.64
***WARNING*** Library was built as DEBUG. Timings may be affected.
-------------------------------------------------------------------------------------------------------------
Benchmark                                                   Time             CPU   Iterations UserCounters...
BM_ColSample<xgboost::Philox4x32>/16_median              69.4 ns         69.4 ns           15 items_per_second=14.4192M/s
BM_ColSample<xgboost::Philox4x32>/16_stddev             0.043 ns        0.042 ns           15 items_per_second=8.79043k/s
BM_ColSample<xgboost::Philox4x32>/16_cv                  0.06 %          0.06 %            15 items_per_second=0.06%
BM_ColSample<std::mt19937>/16_mean                       1755 ns         1755 ns           15 items_per_second=569.822k/s
BM_ColSample<std::mt19937>/16_median                     1755 ns         1755 ns           15 items_per_second=569.952k/s
BM_ColSample<std::mt19937>/16_stddev                     1.20 ns         1.20 ns           15 items_per_second=388.726/s
BM_ColSample<std::mt19937>/16_cv                         0.07 %          0.07 %            15 items_per_second=0.07%
BM_Seq<xgboost_hilo::Philox4x32>_mean                    3.06 ns         3.06 ns           15 items_per_second=327.301M/s
BM_Seq<xgboost_hilo::Philox4x32>_median                  3.06 ns         3.06 ns           15 items_per_second=327.281M/s
BM_Seq<xgboost_hilo::Philox4x32>_stddev                 0.002 ns        0.002 ns           15 items_per_second=218.031k/s
BM_Seq<xgboost_hilo::Philox4x32>_cv                      0.07 %          0.07 %            15 items_per_second=0.07%
BM_ColSample<std::mt19937>/64_mean                       1887 ns         1886 ns           15 items_per_second=530.082k/s
BM_ColSample<std::mt19937>/64_median                     1887 ns         1886 ns           15 items_per_second=530.09k/s
BM_ColSample<std::mt19937>/64_stddev                    0.499 ns        0.497 ns           15 items_per_second=139.791/s
BM_ColSample<std::mt19937>/64_cv                         0.03 %          0.03 %            15 items_per_second=0.03%
BM_ColSample<xgboost::Philox4x32>/1024_mean              3682 ns         3682 ns           15 items_per_second=271.611k/s
BM_ColSample<xgboost::Philox4x32>/1024_median            3673 ns         3673 ns           15 items_per_second=272.23k/s
BM_ColSample<xgboost::Philox4x32>/1024_stddev            33.1 ns         33.1 ns           15 items_per_second=2.37977k/s
BM_ColSample<xgboost::Philox4x32>/1024_cv                0.90 %          0.90 %            15 items_per_second=0.88%
BM_ColSample<xgboost_spec::Philox4x32>/64_mean            258 ns          258 ns           15 items_per_second=3.87192M/s
BM_ColSample<xgboost_spec::Philox4x32>/64_median          258 ns          258 ns           15 items_per_second=3.87302M/s
BM_ColSample<xgboost_spec::Philox4x32>/64_stddev        0.443 ns        0.445 ns           15 items_per_second=6.66321k/s
BM_ColSample<xgboost_spec::Philox4x32>/64_cv             0.17 %          0.17 %            15 items_per_second=0.17%
BM_ColSample<std::mt19937>/256_mean                      2361 ns         2361 ns           15 items_per_second=423.549k/s
BM_ColSample<std::mt19937>/256_median                    2362 ns         2362 ns           15 items_per_second=423.443k/s
BM_ColSample<std::mt19937>/256_stddev                    2.03 ns         2.02 ns           15 items_per_second=363.338/s
BM_ColSample<std::mt19937>/256_cv                        0.09 %          0.09 %            15 items_per_second=0.09%
BM_ColSample<xgboost_spec::Philox4x32>/256_mean           953 ns          953 ns           15 items_per_second=1.04965M/s
BM_ColSample<xgboost_spec::Philox4x32>/256_median         953 ns          953 ns           15 items_per_second=1.0496M/s
BM_ColSample<xgboost_spec::Philox4x32>/256_stddev        2.20 ns         2.20 ns           15 items_per_second=2.42591k/s
BM_ColSample<xgboost_spec::Philox4x32>/256_cv            0.23 %          0.23 %            15 items_per_second=0.23%
BM_ColSample<xgboost_spec::Philox4x32>/16_mean           69.1 ns         69.1 ns           15 items_per_second=14.4821M/s
BM_ColSample<xgboost_spec::Philox4x32>/16_median         69.0 ns         69.0 ns           15 items_per_second=14.483M/s
BM_ColSample<xgboost_spec::Philox4x32>/16_stddev        0.036 ns        0.036 ns           15 items_per_second=7.62102k/s
BM_ColSample<xgboost_spec::Philox4x32>/16_cv             0.05 %          0.05 %            15 items_per_second=0.05%
BM_ColSample<xgboost::Philox4x32>/64_mean                 255 ns          255 ns           15 items_per_second=3.92704M/s
BM_ColSample<xgboost::Philox4x32>/64_median               255 ns          255 ns           15 items_per_second=3.92764M/s
BM_ColSample<xgboost::Philox4x32>/64_stddev             0.472 ns        0.472 ns           15 items_per_second=7.27248k/s
BM_ColSample<xgboost::Philox4x32>/64_cv                  0.19 %          0.19 %            15 items_per_second=0.19%
BM_ColSample<xgboost::Philox4x32>/4096_mean             14898 ns        14898 ns           15 items_per_second=67.1998k/s
BM_ColSample<xgboost::Philox4x32>/4096_median           14704 ns        14703 ns           15 items_per_second=68.011k/s
BM_ColSample<xgboost::Philox4x32>/4096_stddev             545 ns          545 ns           15 items_per_second=2.22424k/s
BM_ColSample<xgboost::Philox4x32>/4096_cv                3.66 %          3.66 %            15 items_per_second=3.31%
