parity ok: all variants match [rand.predef] and each other
2026-08-28T09:44:43+00:00
Running ./bench_clang_O2
Run on (4 X 2700 MHz CPU s)
CPU Caches:
  L1 Data 48 KiB (x2)
  L1 Instruction 32 KiB (x2)
  L2 Unified 2048 KiB (x2)
  L3 Unified 107520 KiB (x1)
Load Average: 1.00, 0.84, 0.51
***WARNING*** Library was built as DEBUG. Timings may be affected.
-------------------------------------------------------------------------------------------------------------
Benchmark                                                   Time             CPU   Iterations UserCounters...
-------------------------------------------------------------------------------------------------------------
BM_ColSample<xgboost_hilo::Philox4x32>/1024_mean         3680 ns         3680 ns           15 items_per_second=275.903k/s
BM_ColSample<xgboost_hilo::Philox4x32>/1024_median       3533 ns         3533 ns           15 items_per_second=283.015k/s
BM_ColSample<xgboost_hilo::Philox4x32>/1024_stddev        578 ns          578 ns           15 items_per_second=28.3723k/s
BM_ColSample<xgboost_hilo::Philox4x32>/1024_cv          15.70 %         15.70 %            15 items_per_second=10.28%
BM_ColSample<xgboost_spec::Philox4x32>/4096_mean        15078 ns        15078 ns           15 items_per_second=66.4045k/s
BM_ColSample<xgboost_spec::Philox4x32>/4096_median      14926 ns        14926 ns           15 items_per_second=66.9965k/s
BM_ColSample<xgboost_spec::Philox4x32>/4096_stddev        581 ns          581 ns           15 items_per_second=2.26817k/s
BM_ColSample<xgboost_spec::Philox4x32>/4096_cv           3.86 %          3.86 %            15 items_per_second=3.42%
BM_ColSample<xgboost_hilo::Philox4x32>/4096_mean        14113 ns        14113 ns           15 items_per_second=70.8634k/s
BM_ColSample<xgboost_hilo::Philox4x32>/4096_median      14091 ns        14091 ns           15 items_per_second=70.9698k/s
BM_ColSample<xgboost_hilo::Philox4x32>/4096_stddev        122 ns          121 ns           15 items_per_second=595.782/s
BM_ColSample<xgboost_hilo::Philox4x32>/4096_cv           0.86 %          0.86 %            15 items_per_second=0.84%
BM_Seq<xgboost_hilo::Philox4x32>_mean                    3.29 ns         3.29 ns           15 items_per_second=303.803M/s
BM_Seq<xgboost_hilo::Philox4x32>_median                  3.29 ns         3.29 ns           15 items_per_second=304.039M/s
BM_Seq<xgboost_hilo::Philox4x32>_stddev                 0.010 ns        0.010 ns           15 items_per_second=907.753k/s
BM_Seq<xgboost_hilo::Philox4x32>_cv                      0.30 %          0.30 %            15 items_per_second=0.30%
BM_ColSample<std::mt19937>/1024_mean                     4257 ns         4257 ns           15 items_per_second=234.923k/s
BM_ColSample<std::mt19937>/1024_median                   4256 ns         4256 ns           15 items_per_second=234.983k/s
BM_ColSample<std::mt19937>/1024_stddev                   2.94 ns         2.94 ns           15 items_per_second=161.943/s
BM_ColSample<std::mt19937>/1024_cv                       0.07 %          0.07 %            15 items_per_second=0.07%
BM_ColSample<xgboost_spec::Philox4x32>/64_mean            269 ns          269 ns           15 items_per_second=3.72349M/s
BM_ColSample<xgboost_spec::Philox4x32>/64_median          269 ns          269 ns           15 items_per_second=3.72263M/s
BM_ColSample<xgboost_spec::Philox4x32>/64_stddev        0.289 ns        0.287 ns           15 items_per_second=3.97682k/s
BM_ColSample<xgboost_spec::Philox4x32>/64_cv             0.11 %          0.11 %            15 items_per_second=0.11%
BM_Seq<xgboost_spec::Philox4x32>_mean                    3.74 ns         3.74 ns           15 items_per_second=267.364M/s
BM_Seq<xgboost_spec::Philox4x32>_median                  3.74 ns         3.74 ns           15 items_per_second=267.382M/s
BM_Seq<xgboost_spec::Philox4x32>_stddev                 0.001 ns        0.001 ns           15 items_per_second=59.6081k/s
BM_Seq<xgboost_spec::Philox4x32>_cv                      0.02 %          0.02 %            15 items_per_second=0.02%
BM_ColSample<std::mt19937>/4096_mean                    13107 ns        13107 ns           15 items_per_second=76.3328k/s
BM_ColSample<std::mt19937>/4096_median                  12994 ns        12994 ns           15 items_per_second=76.9609k/s
BM_ColSample<std::mt19937>/4096_stddev                    315 ns          315 ns           15 items_per_second=1.71099k/s
BM_ColSample<std::mt19937>/4096_cv                       2.40 %          2.40 %            15 items_per_second=2.24%
BM_Seq<std::mt19937>_mean                                2.50 ns         2.50 ns           15 items_per_second=400.533M/s
BM_Seq<std::mt19937>_median                              2.50 ns         2.50 ns           15 items_per_second=400.212M/s
BM_Seq<std::mt19937>_stddev                             0.014 ns        0.013 ns           15 items_per_second=2.16838M/s
BM_Seq<std::mt19937>_cv                                  0.54 %          0.54 %            15 items_per_second=0.54%
BM_ColSample<xgboost::Philox4x32>/64_mean                 266 ns          266 ns           15 items_per_second=3.75255M/s
BM_ColSample<xgboost::Philox4x32>/64_median               266 ns          266 ns           15 items_per_second=3.75302M/s
BM_ColSample<xgboost::Philox4x32>/64_stddev             0.276 ns        0.274 ns           15 items_per_second=3.86113k/s
BM_ColSample<xgboost::Philox4x32>/64_cv                  0.10 %          0.10 %            15 items_per_second=0.10%
BM_ColSample<xgboost_spec::Philox4x32>/16_mean           71.9 ns         71.9 ns           15 items_per_second=13.9099M/s
BM_ColSample<xgboost_spec::Philox4x32>/16_median         71.9 ns         71.9 ns           15 items_per_second=13.9139M/s
BM_ColSample<xgboost_spec::Philox4x32>/16_stddev        0.048 ns        0.048 ns           15 items_per_second=9.36178k/s
BM_ColSample<xgboost_spec::Philox4x32>/16_cv             0.07 %          0.07 %            15 items_per_second=0.07%
BM_ColSample<std::mt19937>/256_mean                      2358 ns         2358 ns           15 items_per_second=424.028k/s
BM_ColSample<std::mt19937>/256_median                    2358 ns         2358 ns           15 items_per_second=424.049k/s
BM_ColSample<std::mt19937>/256_stddev                   0.577 ns        0.568 ns           15 items_per_second=102.108/s
BM_ColSample<std::mt19937>/256_cv                        0.02 %          0.02 %            15 items_per_second=0.02%
BM_ColSample<xgboost_hilo::Philox4x32>/64_mean            242 ns          242 ns           15 items_per_second=4.12428M/s
BM_ColSample<xgboost_hilo::Philox4x32>/64_median          242 ns          242 ns           15 items_per_second=4.12521M/s
BM_ColSample<xgboost_hilo::Philox4x32>/64_stddev        0.499 ns        0.499 ns           15 items_per_second=8.46454k/s
